station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-20000-0-11766,69,1.0,1956.0,2024.0,0,22.0,12.0,26.0,0.15284346457240894,69,True,True,True,True,True,True,True,,1956-2025,69,Červená,49.777222,17.541944,748.13
0-203-0-11001058001,69,1.0,1956.0,2024.0,0,23.0,13.0,26.0,0.13896621549750796,69,True,True,True,True,True,True,True,,1956-2025,69,Tři Sekery,49.943647,12.616463,672.0
0-203-0-11002097001,69,1.0,1956.0,2024.0,0,24.0,15.0,26.0,0.08984981811407684,69,True,True,True,True,True,True,True,,1956-2025,69,Dnešice,49.601994,13.269301,378.0
0-203-0-11005011001,69,1.0,1956.0,2024.0,0,23.0,11.0,26.0,0.153470585418688,69,True,True,True,True,True,True,True,,1956-2025,69,Žinkovy,49.486555,13.491503,475.0
0-203-0-11765,69,1.0,1956.0,2024.0,0,23.0,11.0,26.0,0.14017635805420514,69,True,True,True,True,True,True,True,,1956-2025,69,Bělotín,49.5869,17.8042,306.0
0-203-0-11794,69,1.0,1956.0,2024.0,0,23.0,14.0,26.0,0.11591274035324166,69,True,True,True,True,True,True,True,,1956-2025,69,Horní Bečva,49.4311,18.2983,565.0
0-203-0-20101147002,69,1.0,1956.0,2024.0,0,23.0,12.0,26.0,0.15683354096568078,69,True,True,True,True,True,True,True,,1956-2025,69,Hukvaldy  Rychaltice,49.6428,18.2208,292.0
0-203-0-20408003001,69,1.0,1956.0,2024.0,0,22.0,10.0,25.0,0.17075956275409557,69,True,True,True,True,True,True,True,,1956-2025,69,Rumburk,50.95156,14.57086,390.0
0-203-0-41001078001,69,1.0,1956.0,2024.0,0,23.0,12.0,26.0,0.186059015620159,69,True,True,True,True,True,True,True,,1956-2025,69,Velké Losiny,50.038056,17.051365,411.0
0-203-0-10802009001,68,0.9855072463768116,1957.0,2024.0,1,20.5,10.0,26.0,0.19116713062816432,69,True,True,True,True,True,True,True,,1956-2025,69,Vimperk,49.0657822,13.7824278,637.0
